Index,init_distance,안전센터/소방서이름
0,4.187350250320711,공주소방서-동학사-119 안전센터
1,6.173579707340489,대전-구암-119 안전센터
2,6.1760451801812835,대전-원내-119 안전센터
3,6.525118144444934,대전-노은-119 안전센터
4,6.573839603581907,계룡소방서
5,7.3038086892575675,계룡소방서-계룡-119 안전센터
6,8.045127750717155,대전-가수원-119 안전센터
7,8.453262449621787,대전-궁동-119 안전센터
8,9.709797579697835,둔산소방서
9,9.71080207373061,대전-갈마-119 안전센터
10,9.743229974121183,서부소방서
11,9.755529340526316,대전-복수-119 안전센터
12,9.7583206265406,대전-월평-119 안전센터
13,11.092152587893313,대전-둔산-119 안전센터
14,11.509453317349395,대전-태평-119 안전센터
15,11.650191147889645,대전-도룡-119 안전센터
16,11.65794855387114,유성소방서
17,11.763159054983667,공주소방서-공주_계룡-119 안전센터
18,11.780957398274479,대전-산성-119 안전센터
19,11.799557456938546,대전-탄방-119 안전센터
20,13.065770604789847,대전-문화-119 안전센터
21,13.720022641997776,대전-대화-119 안전센터
22,14.056618913031214,대전-삼성-119 안전센터
23,14.684046396710064,대전-원동-119 안전센터
24,14.777643966507817,논산소방서-논산_연산-119 안전센터
25,14.888488947335057,대전-전민-119 안전센터
26,14.974272811791462,대전-부사-119 안전센터
27,15.453359393884625,대덕소방서
28,15.455610757453385,대전-법동-119 안전센터
29,15.470637780216723,동부소방서
