Index,init_distance,duration,안전센터/소방서이름
0,7.4967,10.243333333333334,대전-송촌-119 안전센터
1,8.1319,10.825,동부소방서
2,7.910100000000001,11.066666666666666,대전-가양-119 안전센터
3,8.6699,12.055,대전-용운-119 안전센터
4,9.170399999999999,12.358333333333333,대전-법동-119 안전센터
5,9.2098,12.386666666666667,대덕소방서
6,9.8247,12.898333333333333,대전-삼성-119 안전센터
7,10.1906,13.356666666666666,대전-부사-119 안전센터
8,11.6852,14.733333333333333,대전-원동-119 안전센터
9,11.427100000000001,14.923333333333334,대전-대화-119 안전센터
10,12.306700000000001,15.385,대전-문화-119 안전센터
11,12.755600000000001,15.813333333333333,대전-산내-119 안전센터
12,12.827,16.016666666666666,대전-태평-119 안전센터
13,13.130600000000001,16.686666666666667,대전-탄방-119 안전센터
14,14.7507,17.81,대전-산성-119 안전센터
15,13.5707,18.158333333333335,대전-둔산-119 안전센터
16,13.8669,18.28666666666667,대전-전민-119 안전센터
17,14.7456,18.705,대전-월평-119 안전센터
18,15.6385,18.796666666666667,옥천소방서-옥천_중앙-119 안전센터
19,15.7335,18.995,서부소방서
20,15.739700000000001,19.075,대전-복수-119 안전센터
21,17.153599999999997,19.951666666666664,대전-덕암-119 안전센터
22,16.3418,20.118333333333332,둔산소방서
23,16.3429,20.121666666666666,대전-갈마-119 안전센터
24,16.1911,20.53166666666667,유성소방서
25,16.1982,20.540000000000003,대전-도룡-119 안전센터
26,18.0232,20.936666666666667,대전-가수원-119 안전센터
27,17.1539,21.821666666666665,대전-궁동-119 안전센터
28,19.4108,23.051666666666666,대전-문평-119 안전센터
29,18.9851,24.209999999999997,대전-구암-119 안전센터
