,0,1,2,3,4,5
0,0.0,4.8,4.82,5.22,4.4,45.68
1,5.08,0.0,3.67,1.79,8.16,43.63
2,5.71,4.23,0.0,4.16,8.4,40.45
3,5.57,1.83,3.57,0.0,8.26,41.85
4,3.42,7.91,7.94,8.34,0.0,45.63
5,46.0,42.63,39.04,40.84,48.75,0.0
