Index,init_distance,duration,안전센터/소방서이름
0,2.8506,8.28,대전-원내-119 안전센터
1,3.689,8.536666666666667,대전-가수원-119 안전센터
2,4.9908,9.431666666666667,서부소방서
3,5.761,10.873333333333333,대전-복수-119 안전센터
4,5.9379,11.488333333333333,대전-구암-119 안전센터
5,7.8273,12.155,대전-태평-119 안전센터
6,7.5794,12.283333333333333,대전-산성-119 안전센터
7,8.96,13.245000000000001,대전-문화-119 안전센터
8,9.0893,13.975,계룡소방서-계룡-119 안전센터
9,9.1491,15.085,대전-노은-119 안전센터
10,9.3286,15.183333333333334,대전-갈마-119 안전센터
11,9.3297,15.186666666666667,둔산소방서
12,10.7926,15.354999999999999,대전-원동-119 안전센터
13,9.0905,15.446666666666665,대전-궁동-119 안전센터
14,10.2538,15.601666666666667,계룡소방서
15,11.1024,15.633333333333333,대전-부사-119 안전센터
16,11.0003,16.183333333333334,대전-삼성-119 안전센터
17,10.2841,16.236666666666668,대전-월평-119 안전센터
18,11.4428,16.38,대전-탄방-119 안전센터
19,12.5871,17.171666666666667,동부소방서
20,10.919,17.465,대전-둔산-119 안전센터
21,13.4167,18.163333333333334,대전-가양-119 안전센터
22,14.4281,19.461666666666666,대전-용운-119 안전센터
23,13.9092,19.928333333333335,대전-대화-119 안전센터
24,14.1112,20.425,유성소방서
25,14.1183,20.433333333333334,대전-도룡-119 안전센터
26,15.779200000000001,20.753333333333334,대전-송촌-119 안전센터
27,16.077,21.084999999999997,대전-법동-119 안전센터
28,14.7622,21.108333333333334,공주소방서-동학사-119 안전센터
29,16.1164,21.113333333333333,대덕소방서
