Index,init_distance,안전센터/소방서이름
0,2.9607515833801945,대전-문평-119 안전센터
1,5.046252976673573,대전-덕암-119 안전센터
2,7.379103430341692,대전-전민-119 안전센터
3,7.449012101574944,조치원소방서-부강-119 안전센터
4,7.880126236529745,보람119안전센터
5,8.992624301594757,서부소방서_충북-남이-119 안전센터
6,9.170528426475267,유성소방서
7,9.177544352908598,대전-도룡-119 안전센터
8,10.535760038547053,세종소방서-어진-119 안전센터
9,10.740247373920438,세종소방서-한솔-119 안전센터
10,10.925972517882975,대덕소방서
11,10.936912838811045,대전-대화-119 안전센터
12,10.942150195676577,대전-법동-119 안전센터
13,11.16097058902403,대전-궁동-119 안전센터
14,11.312233915441864,대전-월평-119 안전센터
15,11.605518524782108,대전-노은-119 안전센터
16,12.131416938285309,대전-둔산-119 안전센터
17,12.34943326858606,대전-송촌-119 안전센터
18,12.366652319443107,동부소방서_충북-문의-119 안전센터
19,12.634153129940806,대전-갈마-119 안전센터
20,12.63417368787898,둔산소방서
21,12.848662240814203,대전-탄방-119 안전센터
22,12.910329463118416,아름119안전센터
23,13.216282286718977,대전-구암-119 안전센터
24,13.88957769283145,대전-가양-119 안전센터
25,14.058443521568426,대전-삼성-119 안전센터
26,14.410103830655475,동부소방서
27,15.258177178888973,대전-태평-119 안전센터
28,15.45906116654992,공주소방서-동학사-119 안전센터
29,15.765026696290036,대전-부사-119 안전센터
