Index,init_distance,duration,안전센터/소방서이름
0,7.6434,10.895000000000001,유성소방서
1,7.6505,10.903333333333334,대전-도룡-119 안전센터
2,8.0023,11.753333333333334,대전-궁동-119 안전센터
3,9.077200000000001,11.85,대전-구암-119 안전센터
4,8.907,11.986666666666668,대전-노은-119 안전센터
5,9.122,12.375,대전-전민-119 안전센터
6,9.6372,12.85,대전-월평-119 안전센터
7,10.9695,14.58,둔산소방서
8,10.9705,14.583333333333334,대전-갈마-119 안전센터
9,11.3976,15.46,대전-문평-119 안전센터
10,11.3831,15.841666666666667,대전-둔산-119 안전센터
11,12.6061,16.345000000000002,대전-탄방-119 안전센터
12,13.9055,17.491666666666667,대전-가수원-119 안전센터
13,13.2066,17.6,대덕소방서
14,13.7298,17.651666666666664,대전-덕암-119 안전센터
15,13.2515,17.65666666666667,대전-법동-119 안전센터
16,12.210700000000001,17.848333333333336,대전-대화-119 안전센터
17,14.4025,18.251666666666665,대전-태평-119 안전센터
18,15.6822,18.891666666666666,공주소방서-동학사-119 안전센터
19,14.6652,19.35,대전-삼성-119 안전센터
20,14.9534,19.513333333333332,대전-송촌-119 안전센터
21,16.0436,19.58833333333333,서부소방서
22,15.9497,20.06833333333333,대전-문화-119 안전센터
23,16.455299999999998,20.388333333333332,대전-복수-119 안전센터
24,15.8026,20.441666666666666,동부소방서
25,16.1857,20.615000000000002,대전-가양-119 안전센터
26,20.723,24.113333333333333,보람119안전센터
27,20.8362,24.625,세종소방서-한솔-119 안전센터
28,22.82,25.973333333333336,세종소방서-어진-119 안전센터
29,24.9285,30.746666666666666,조치원소방서-부강-119 안전센터
