Index,init_distance,안전센터/소방서이름
0,4.6784911038883505,계룡소방서-계룡-119 안전센터
1,5.369632172808154,대전-원내-119 안전센터
2,5.75112159251728,계룡소방서
3,7.799553806483952,대전-가수원-119 안전센터
4,8.612770288628411,대전-복수-119 안전센터
5,8.656193140365744,서부소방서
6,9.712158643718203,대전-산성-119 안전센터
7,11.14648527035846,대전-태평-119 안전센터
8,11.648822296938615,대전-문화-119 안전센터
9,11.728253721866801,대전-구암-119 안전센터
10,11.935480697594937,금산소방서-복진-119 안전센터
11,12.418859341115374,둔산소방서
12,12.419211646633826,대전-갈마-119 안전센터
13,12.641807840995355,대전-원동-119 안전센터
14,12.906748784889492,논산소방서-논산_연산-119 안전센터
15,13.244568798320861,대전-탄방-119 안전센터
16,13.405408025568951,대전-둔산-119 안전센터
17,13.565658269858497,대전-월평-119 안전센터
18,13.566817941827495,대전-궁동-119 안전센터
19,13.631901225421501,대전-부사-119 안전센터
20,13.772856379015535,대전-산내-119 안전센터
21,13.908477105623126,대전-노은-119 안전센터
22,14.018698314737563,대전-삼성-119 안전센터
23,14.285518529542962,금산소방서-추부-119 안전센터
24,14.65628827856595,공주소방서-동학사-119 안전센터
25,15.051580902293015,동부소방서
26,15.729727644989692,대전-가양-119 안전센터
27,15.879544549402812,대전-대화-119 안전센터
28,15.900421133727827,대전-도룡-119 안전센터
29,15.908739720809681,유성소방서
