Index,init_distance,duration,안전센터/소방서이름
0,0.8685,1.425,대전-산성-119 안전센터
1,2.2201,3.0900000000000003,서부소방서
2,2.2262,3.17,대전-복수-119 안전센터
3,2.7636999999999996,3.4050000000000002,대전-태평-119 안전센터
4,3.0681,4.185,대전-문화-119 안전센터
5,4.2471000000000005,5.628333333333333,대전-가수원-119 안전센터
6,4.5783000000000005,5.7716666666666665,대전-원동-119 안전센터
7,6.0388,6.883333333333334,대전-부사-119 안전센터
8,5.9367,7.433333333333334,대전-삼성-119 안전센터
9,6.499,7.781666666666666,둔산소방서
10,6.500100000000001,7.785,대전-갈마-119 안전센터
11,6.5173000000000005,7.801666666666667,대전-탄방-119 안전센터
12,7.5234,8.421666666666667,동부소방서
13,7.533399999999999,9.136666666666667,대전-원내-119 안전센터
14,8.3531,9.413333333333332,대전-가양-119 안전센터
15,7.2912,9.65,대전-둔산-119 안전센터
16,7.949,9.691666666666666,대전-월평-119 안전센터
17,8.213899999999999,9.878333333333334,대전-용운-119 안전센터
18,9.9131,10.635,대전-산내-119 안전센터
19,8.9837,11.35,대전-대화-119 안전센터
20,10.7156,12.003333333333334,대전-송촌-119 안전센터
21,11.013399999999999,12.335,대전-법동-119 안전센터
22,11.0528,12.363333333333333,대덕소방서
23,10.5036,12.685,대전-구암-119 안전센터
24,10.406,13.281666666666666,대전-궁동-119 안전센터
25,11.305299999999999,13.361666666666668,유성소방서
26,11.3124,13.370000000000001,대전-도룡-119 안전센터
27,12.5475,14.736666666666668,대전-노은-119 안전센터
28,13.7721,14.831666666666667,계룡소방서-계룡-119 안전센터
29,12.5061,15.753333333333334,대전-전민-119 안전센터
