Index,init_distance,안전센터/소방서이름
0,3.547887051161344,계룡소방서-계룡-119 안전센터
1,4.375703773607882,대전-원내-119 안전센터
2,4.5800947319307905,계룡소방서
3,7.219115865780609,대전-가수원-119 안전센터
4,8.262249139534887,대전-복수-119 안전센터
5,8.300862590523568,서부소방서
6,9.594623123811887,대전-산성-119 안전센터
7,10.785433466370243,대전-구암-119 안전센터
8,10.859624042245956,대전-태평-119 안전센터
9,11.538457296730838,대전-문화-119 안전센터
10,11.80288125134553,둔산소방서
11,11.803325095911655,대전-갈마-119 안전센터
12,12.460892748225552,논산소방서-논산_연산-119 안전센터
13,12.664285874418882,대전-원동-119 안전센터
14,12.738794942040373,대전-궁동-119 안전센터
15,12.81577490203763,대전-탄방-119 안전센터
16,12.873246344936081,대전-월평-119 안전센터
17,12.877024222991272,대전-둔산-119 안전센터
18,12.883559780514187,대전-노은-119 안전센터
19,13.189527573285211,금산소방서-복진-119 안전센터
20,13.389477133241794,공주소방서-동학사-119 안전센터
21,13.588483622062625,대전-부사-119 안전센터
22,13.809469185797745,대전-삼성-119 안전센터
23,14.27725322684184,대전-산내-119 안전센터
24,14.924912487153843,동부소방서
25,15.229912803230416,대전-도룡-119 안전센터
26,15.238376442880652,유성소방서
27,15.442394299581407,금산소방서-추부-119 안전센터
28,15.448035562254343,대전-대화-119 안전센터
29,15.577504528011582,대전-가양-119 안전센터
