Index,init_distance,안전센터/소방서이름
0,4.144264257192147,유성소방서
1,4.145792343419271,대전-도룡-119 안전센터
2,4.617869335667287,대전-궁동-119 안전센터
3,4.797049750818588,대전-노은-119 안전센터
4,5.352106095254054,대전-월평-119 안전센터
5,5.397687511760735,대전-전민-119 안전센터
6,6.429187053920948,대전-구암-119 안전센터
7,6.748207940867655,둔산소방서
8,6.748573861142883,대전-갈마-119 안전센터
9,6.83431107076759,대전-둔산-119 안전센터
10,7.010792932502318,대전-문평-119 안전센터
11,7.188051345347591,대전-대화-119 안전센터
12,7.838461942287724,대전-탄방-119 안전센터
13,8.094563992619086,대전-덕암-119 안전센터
14,8.25593386389977,대덕소방서
15,8.268864490438908,대전-법동-119 안전센터
16,9.441009517940463,공주소방서-동학사-119 안전센터
17,9.468395575579324,보람119안전센터
18,9.754847496092651,대전-송촌-119 안전센터
19,9.902592344064514,대전-삼성-119 안전센터
20,9.907735028916163,대전-태평-119 안전센터
21,10.613894006649053,대전-가양-119 안전센터
22,10.695522492170658,대전-가수원-119 안전센터
23,10.835034829808498,동부소방서
24,10.860167501788357,서부소방서
25,10.911560007470742,대전-복수-119 안전센터
26,11.187516178663977,대전-문화-119 안전센터
27,11.430111469571377,세종소방서-한솔-119 안전센터
28,11.660290072466113,대전-부사-119 안전센터
29,11.682987792105813,대전-산성-119 안전센터
