Index,init_distance,duration,안전센터/소방서이름
0,5.9174,8.781666666666666,금산소방서-추부-119 안전센터
1,8.1605,9.6,대전-산내-119 안전센터
2,14.0855,15.561666666666667,대전-원동-119 안전센터
3,14.6603,15.768333333333334,대전-부사-119 안전센터
4,15.7404,16.945,대전-문화-119 안전센터
5,14.8445,17.18,대전-용운-119 안전센터
6,16.399,17.666666666666668,동부소방서
7,16.6647,18.006666666666668,대전-삼성-119 안전센터
8,17.2287,18.658333333333335,대전-가양-119 안전센터
9,17.4039,18.913333333333334,대전-산성-119 안전센터
10,17.609099999999998,18.915000000000003,대전-태평-119 안전센터
11,18.058400000000002,19.236666666666668,금산소방서-금산_금산-119 안전센터
12,16.8398,20.571666666666665,금산소방서-복진-119 안전센터
13,19.529400000000003,20.80666666666667,서부소방서
14,19.5355,20.886666666666667,대전-복수-119 안전센터
15,19.591099999999997,21.151666666666664,대전-송촌-119 안전센터
16,19.889,21.483333333333334,대전-법동-119 안전센터
17,19.180400000000002,21.488333333333333,대전-탄방-119 안전센터
18,19.9283,21.511666666666667,대덕소방서
19,20.47,22.358333333333334,대전-대화-119 안전센터
20,21.8191,22.748333333333335,대전-가수원-119 안전센터
21,20.6662,22.94,대전-갈마-119 안전센터
22,20.6672,22.94333333333333,둔산소방서
23,20.8304,23.65666666666667,대전-둔산-119 안전센터
24,23.5582,23.828333333333333,대전-원내-119 안전센터
25,21.8168,24.055,대전-월평-119 안전센터
26,25.479200000000002,26.31833333333333,옥천소방서-옥천_중앙-119 안전센터
27,25.1271,27.243333333333332,대전-구암-119 안전센터
28,28.620900000000002,28.3,계룡소방서-계룡-119 안전센터
29,29.785400000000003,29.926666666666666,계룡소방서
