Index,init_distance,안전센터/소방서이름
0,1.424975034591615,대전-구암-119 안전센터
1,3.4756395814749355,대전-궁동-119 안전센터
2,3.6163700963041268,대전-가수원-119 안전센터
3,3.7970671614802294,대전-노은-119 안전센터
4,3.8860485653524854,둔산소방서
5,3.887019570154191,대전-갈마-119 안전센터
6,4.218819735527597,대전-월평-119 안전센터
7,4.774389533790246,서부소방서
8,4.808005470885208,대전-복수-119 안전센터
9,5.024584516120417,대전-원내-119 안전센터
10,5.27999664481222,대전-둔산-119 안전센터
11,5.863871657604338,대전-태평-119 안전센터
12,5.941702788259368,대전-탄방-119 안전센터
13,6.453873310186238,대전-도룡-119 안전센터
14,6.462421225898543,유성소방서
15,6.604789017108239,대전-산성-119 안전센터
16,7.487090166161118,공주소방서-동학사-119 안전센터
17,7.495537331724932,대전-문화-119 안전센터
18,7.988115563484325,대전-대화-119 안전센터
19,8.21854845159146,대전-삼성-119 안전센터
20,9.114219324768621,대전-원동-119 안전센터
21,9.253045239218576,대전-부사-119 안전센터
22,9.558769201483194,계룡소방서
23,9.632112086229077,동부소방서
24,9.644307138469378,계룡소방서-계룡-119 안전센터
25,9.718630420071088,대덕소방서
26,9.719305051747527,대전-법동-119 안전센터
27,9.76043550215776,대전-전민-119 안전센터
28,9.961461604192909,대전-가양-119 안전센터
29,10.456439674843345,대전-송촌-119 안전센터
