Index,init_distance,안전센터/소방서이름
0,2.406027291070028,대전-가수원-119 안전센터
1,2.5712430499673404,대전-원내-119 안전센터
2,3.8726011463074146,대전-구암-119 안전센터
3,4.1282673259802545,서부소방서
4,4.136492364174415,대전-복수-119 안전센터
5,5.475572097169929,둔산소방서
6,5.476314111943701,대전-갈마-119 안전센터
7,5.847796136035358,대전-궁동-119 안전센터
8,6.117186067818056,대전-노은-119 안전센터
9,6.172845342291042,대전-산성-119 안전센터
10,6.176290171208923,대전-태평-119 안전센터
11,6.245747590326563,대전-월평-119 안전센터
12,6.7927093785862915,대전-둔산-119 안전센터
13,7.1434535838031845,대전-탄방-119 안전센터
14,7.450291915608467,계룡소방서-계룡-119 안전센터
15,7.52805031459774,계룡소방서
16,7.610397877479978,대전-문화-119 안전센터
17,8.522927211303582,공주소방서-동학사-119 안전센터
18,8.59329096692898,대전-도룡-119 안전센터
19,8.601922053373873,유성소방서
20,9.016483651343608,대전-삼성-119 안전센터
21,9.197796734661138,대전-원동-119 안전센터
22,9.559608976817156,대전-대화-119 안전센터
23,9.634172249527056,대전-부사-119 안전센터
24,10.395476006214734,동부소방서
25,10.86368788122343,대전-가양-119 안전센터
26,11.228905810248401,대전-법동-119 안전센터
27,11.231244678922144,대덕소방서
28,11.69983778207674,대전-송촌-119 안전센터
29,11.838109730918571,대전-전민-119 안전센터
