lat,lon,pdr_mean,pdr_std,N,source_folder,stat_file
36.266771,127.442691,0.05757804695519799,0.17909158148928597,12,lat36.266771_lon127.442691,results_lat36.266771_lon127.442691_stat.txt
36.268062,127.347111,0.05735348630170442,0.1796278533894171,15,lat36.268062_lon127.347111,results_lat36.268062_lon127.347111_stat.txt
36.268188,127.480503,0.07029879289534965,0.17705910493347482,13,lat36.268188_lon127.480503,results_lat36.268188_lon127.480503_stat.txt
36.268973,127.39855,0.02350208321386637,0.014613751144693425,29,lat36.268973_lon127.398550,results_lat36.268973_lon127.398550_stat.txt
36.269013,127.412432,0.057197999008054404,0.17878859022062676,17,lat36.269013_lon127.412432,results_lat36.269013_lon127.412432_stat.txt
36.269598,127.346333,0.043503088433068486,0.02081940644228968,50,lat36.269598_lon127.346333,results_lat36.269598_lon127.346333_stat.txt
36.269672,127.394073,0.026748255779121776,0.01663717455582956,37,lat36.269672_lon127.394073,results_lat36.269672_lon127.394073_stat.txt
36.270338,127.278722,0.05968234938923193,0.17930455242014098,15,lat36.270338_lon127.278722,results_lat36.270338_lon127.278722_stat.txt
36.270425,127.328881,0.06244987268771556,0.1787576389614975,17,lat36.270425_lon127.328881,results_lat36.270425_lon127.328881_stat.txt
36.270717,127.275465,0.05460666861686951,0.17901295582906493,16,lat36.270717_lon127.275465,results_lat36.270717_lon127.275465_stat.txt
36.27079,127.275319,0.054936639832251576,0.17893240332745824,16,lat36.270790_lon127.275319,results_lat36.270790_lon127.275319_stat.txt
36.270868,127.447532,0.05313257261369311,0.18010914226571667,12,lat36.270868_lon127.447532,results_lat36.270868_lon127.447532_stat.txt
36.271325,127.294704,0.047773019081087484,0.18023203903402465,10,lat36.271325_lon127.294704,results_lat36.271325_lon127.294704_stat.txt
36.271348,127.428484,0.041884784406082405,0.01650243754380405,42,lat36.271348_lon127.428484,results_lat36.271348_lon127.428484_stat.txt
36.271836,127.290205,0.03777832268531094,0.026571066848088246,39,lat36.271836_lon127.290205,results_lat36.271836_lon127.290205_stat.txt
36.272437,127.475648,0.0352803965217579,0.021179321225174345,21,lat36.272437_lon127.475648,results_lat36.272437_lon127.475648_stat.txt
36.272468,127.358062,0.03182038750940347,0.02287673815017487,37,lat36.272468_lon127.358062,results_lat36.272468_lon127.358062_stat.txt
36.272922,127.369309,0.03854934248792021,0.026359996374634105,40,lat36.272922_lon127.369309,results_lat36.272922_lon127.369309_stat.txt
36.273282,127.269585,0.05316677988495176,0.030361464262836677,48,lat36.273282_lon127.269585,results_lat36.273282_lon127.269585_stat.txt
36.273881,127.467545,0.06781996240410161,0.17880256460967406,12,lat36.273881_lon127.467545,results_lat36.273881_lon127.467545_stat.txt
36.274034,127.289374,0.049077493638265864,0.028345242090893598,41,lat36.274034_lon127.289374,results_lat36.274034_lon127.289374_stat.txt
36.274334,127.264508,0.037098212206423044,0.02367797156098035,32,lat36.274334_lon127.264508,results_lat36.274334_lon127.264508_stat.txt
36.274553,127.271427,0.07842476529782663,0.029477850710866588,49,lat36.274553_lon127.271427,results_lat36.274553_lon127.271427_stat.txt
36.274685,127.381054,0.05637872989364552,0.1354190830898847,19,lat36.274685_lon127.381054,results_lat36.274685_lon127.381054_stat.txt
36.27479,127.411338,0.025554767851133343,0.023036959706459696,18,lat36.274790_lon127.411338,results_lat36.274790_lon127.411338_stat.txt
36.274851,127.471177,0.05141935687617059,0.039297026584909404,39,lat36.274851_lon127.471177,results_lat36.274851_lon127.471177_stat.txt
36.275284,127.483961,0.06884886083280829,0.1777593562883998,12,lat36.275284_lon127.483961,results_lat36.275284_lon127.483961_stat.txt
36.275508,127.26448,0.04118650762845765,0.0237662740213265,39,lat36.275508_lon127.264480,results_lat36.275508_lon127.264480_stat.txt
36.276649,127.345893,0.03313315337246056,0.024498234339895487,25,lat36.276649_lon127.345893,results_lat36.276649_lon127.345893_stat.txt
36.276858,127.419372,0.026857275923055347,0.014999575229976369,21,lat36.276858_lon127.419372,results_lat36.276858_lon127.419372_stat.txt
36.276928,127.481445,0.05001844027960957,0.034250656228398235,36,lat36.276928_lon127.481445,results_lat36.276928_lon127.481445_stat.txt
36.276952,127.293801,0.04964928800870267,0.17983322205460095,11,lat36.276952_lon127.293801,results_lat36.276952_lon127.293801_stat.txt
36.276963,127.442419,0.058773713011677976,0.030752929969230312,50,lat36.276963_lon127.442419,results_lat36.276963_lon127.442419_stat.txt
36.276971,127.376753,0.023358226650065057,0.012458890675313514,41,lat36.276971_lon127.376753,results_lat36.276971_lon127.376753_stat.txt
36.277017,127.35986,0.09632304044529189,0.19604886812230135,24,lat36.277017_lon127.359860,results_lat36.277017_lon127.359860_stat.txt
36.277038,127.345951,0.053318999844377754,0.17999939869766518,16,lat36.277038_lon127.345951,results_lat36.277038_lon127.345951_stat.txt
36.277875,127.294623,0.0402697279940949,0.024556838867333366,38,lat36.277875_lon127.294623,results_lat36.277875_lon127.294623_stat.txt
36.278119,127.331952,0.032663688677699934,0.0313680062447263,18,lat36.278119_lon127.331952,results_lat36.278119_lon127.331952_stat.txt
36.278175,127.275515,0.058059476440599396,0.02690175030460326,44,lat36.278175_lon127.275515,results_lat36.278175_lon127.275515_stat.txt
36.278332,127.427981,0.034534718448878905,0.0174146140960329,28,lat36.278332_lon127.427981,results_lat36.278332_lon127.427981_stat.txt
36.278611,127.432886,0.06272373364562088,0.17834420541523333,16,lat36.278611_lon127.432886,results_lat36.278611_lon127.432886_stat.txt
36.278749,127.345838,0.04321577407697301,0.03376731344139033,43,lat36.278749_lon127.345838,results_lat36.278749_lon127.345838_stat.txt
