lat,lon,pdr_mean,pdr_std,source_folder,stat_file
36.384161,127.364832,0.05246546525550975,0.03940216722061514,lat36.384161_lon127.364832,results_lat36.384161_lon127.364832_stat.txt
36.384422,127.303949,0.057643040706378795,0.035179745969986576,lat36.384422_lon127.303949,results_lat36.384422_lon127.303949_stat.txt
36.385191,127.492198,0.04443440265297076,0.024233650451370606,lat36.385191_lon127.492198,results_lat36.385191_lon127.492198_stat.txt
36.385395,127.356495,0.049673701533023674,0.026888689963866112,lat36.385395_lon127.356495,results_lat36.385395_lon127.356495_stat.txt
36.385568,127.431134,0.0282263531750025,0.015070112121046543,lat36.385568_lon127.431134,results_lat36.385568_lon127.431134_stat.txt
36.385765,127.339475,0.05795494998792487,0.040956092531629386,lat36.385765_lon127.339475,results_lat36.385765_lon127.339475_stat.txt
36.386019,127.327414,0.048014123029783265,0.03379085797341524,lat36.386019_lon127.327414,results_lat36.386019_lon127.327414_stat.txt
36.386368,127.488335,0.0402187092553208,0.02025058505960703,lat36.386368_lon127.488335,results_lat36.386368_lon127.488335_stat.txt
36.386719,127.491792,0.04320847266276355,0.02062787643048438,lat36.386719_lon127.491792,results_lat36.386719_lon127.491792_stat.txt
36.38679,127.292035,0.06260459648222041,0.04304670836335729,lat36.386790_lon127.292035,results_lat36.386790_lon127.292035_stat.txt
36.386992,127.516957,0.04561251474303661,0.02810035657484788,lat36.386992_lon127.516957,results_lat36.386992_lon127.516957_stat.txt
36.387147,127.371492,0.0545380696694621,0.03953354812484838,lat36.387147_lon127.371492,results_lat36.387147_lon127.371492_stat.txt
36.387176,127.426104,0.021638388158376314,0.01818049390559718,lat36.387176_lon127.426104,results_lat36.387176_lon127.426104_stat.txt
36.38731,127.346289,0.05054811200035714,0.03461389065695833,lat36.387310_lon127.346289,results_lat36.387310_lon127.346289_stat.txt
36.387385,127.48867,0.04065045043007935,0.01978592390294307,lat36.387385_lon127.488670,results_lat36.387385_lon127.488670_stat.txt
36.387421,127.435011,0.03031948067838151,0.02179868123883536,lat36.387421_lon127.435011,results_lat36.387421_lon127.435011_stat.txt
36.387465,127.442243,0.04031908578572551,0.019974988621944037,lat36.387465_lon127.442243,results_lat36.387465_lon127.442243_stat.txt
36.387524,127.332874,0.052633425756184,0.031583783304319095,lat36.387524_lon127.332874,results_lat36.387524_lon127.332874_stat.txt
36.387721,127.304516,0.04919018950261091,0.02805463646162693,lat36.387721_lon127.304516,results_lat36.387721_lon127.304516_stat.txt
36.388271,127.430243,0.02844328068972591,0.015025090157626125,lat36.388271_lon127.430243,results_lat36.388271_lon127.430243_stat.txt
36.388358,127.28521,0.06628792111950506,0.04222573586562255,lat36.388358_lon127.285210,results_lat36.388358_lon127.285210_stat.txt
36.388762,127.30511,0.05720019955480254,0.033923534710408196,lat36.388762_lon127.305110,results_lat36.388762_lon127.305110_stat.txt
36.388768,127.407272,0.01670995173649723,0.010763929098903708,lat36.388768_lon127.407272,results_lat36.388768_lon127.407272_stat.txt
36.389002,127.44131,0.03988673844908519,0.025753346868435428,lat36.389002_lon127.441310,results_lat36.389002_lon127.441310_stat.txt
36.389092,127.304836,0.05403811764685006,0.027814375763788517,lat36.389092_lon127.304836,results_lat36.389092_lon127.304836_stat.txt
