Index,init_distance,duration,안전센터/소방서이름
0,2.8907,3.578333333333333,대전-월평-119 안전센터
1,3.295,4.013333333333334,유성소방서
2,3.3021,4.0216666666666665,대전-도룡-119 안전센터
3,3.7176,5.05,대전-둔산-119 안전센터
4,4.0691,5.326666666666667,대전-갈마-119 안전센터
5,4.0702,5.33,둔산소방서
6,4.940600000000001,5.553333333333333,대전-탄방-119 안전센터
7,4.5337,5.761666666666667,대전-궁동-119 안전센터
8,5.7193000000000005,6.895,대덕소방서
9,5.7642,6.951666666666667,대전-법동-119 안전센터
10,4.6696,7.083333333333333,대전-대화-119 안전센터
11,6.4478,7.75,대전-전민-119 안전센터
12,7.1096,8.038333333333334,대전-태평-119 안전센터
13,7.176399999999999,8.193333333333333,대전-구암-119 안전센터
14,7.3493,8.558333333333334,대전-노은-119 안전센터
15,6.9193999999999996,8.563333333333333,대전-삼성-119 안전센터
16,7.4661,8.808333333333334,대전-송촌-119 안전센터
17,8.234,9.375,서부소방서
18,8.056899999999999,9.655,동부소방서
19,8.3483,9.683333333333334,대전-문화-119 안전센터
20,8.44,9.828333333333335,대전-가양-119 안전센터
21,8.8619,9.883333333333333,대전-복수-119 안전센터
22,9.3401,10.610000000000001,대전-산성-119 안전센터
23,8.864799999999999,10.611666666666668,대전-부사-119 안전센터
24,9.409799999999999,10.778333333333334,대전-가수원-119 안전센터
25,9.704799999999999,11.264999999999999,대전-원동-119 안전센터
26,11.100200000000001,11.625,대전-덕암-119 안전센터
27,10.7553,12.96,대전-문평-119 안전센터
28,11.4915,14.09,대전-용운-119 안전센터
29,13.236799999999999,15.398333333333333,대전-원내-119 안전센터
