Index,init_distance,duration,안전센터/소방서이름
0,1.3577000000000001,2.7849999999999997,대전-원동-119 안전센터
1,2.5305999999999997,3.835,대전-부사-119 안전센터
2,3.0126,4.168333333333333,대전-문화-119 안전센터
3,4.3823,5.845,대전-삼성-119 안전센터
4,5.019100000000001,5.876666666666667,대전-산내-119 안전센터
5,4.3889,5.983333333333333,동부소방서
6,4.676,6.136666666666667,대전-산성-119 안전센터
7,4.8813,6.138333333333334,대전-태평-119 안전센터
8,4.264,6.510000000000001,대전-용운-119 안전센터
9,5.2186,6.975,대전-가양-119 안전센터
10,6.8016000000000005,8.03,서부소방서
11,6.8077,8.110000000000001,대전-복수-119 안전센터
12,6.5557,8.795,대전-탄방-119 안전센터
13,7.5811,9.468333333333334,대전-송촌-119 안전센터
14,7.8789,9.8,대전-법동-119 안전센터
15,7.9183,9.828333333333335,대덕소방서
16,9.091299999999999,9.971666666666666,대전-가수원-119 안전센터
17,7.9384,10.163333333333332,대전-갈마-119 안전센터
18,7.9394,10.166666666666666,둔산소방서
19,8.549100000000001,10.586666666666668,대전-대화-119 안전센터
20,8.1026,10.879999999999999,대전-둔산-119 안전센터
21,9.089,11.278333333333334,대전-월평-119 안전센터
22,12.377600000000001,13.479999999999999,대전-원내-119 안전센터
23,12.399299999999998,14.466666666666667,대전-구암-119 안전센터
24,12.2416,14.773333333333333,유성소방서
25,12.248700000000001,14.781666666666666,대전-도룡-119 안전센터
26,11.546,14.868333333333334,대전-궁동-119 안전센터
27,12.1238,15.498333333333333,대전-전민-119 안전센터
28,13.6875,16.323333333333334,대전-노은-119 안전센터
29,18.535400000000003,18.453333333333333,옥천소방서-옥천_중앙-119 안전센터
