Index,init_distance,안전센터/소방서이름
0,1.516210494368761,대전-가수원-119 안전센터
1,2.1969527087864265,대전-원내-119 안전센터
2,3.257429327351455,대전-복수-119 안전센터
3,3.262323718331804,서부소방서
4,4.83286340612011,대전-구암-119 안전센터
5,5.2688584753096075,대전-산성-119 안전센터
6,5.609549104408285,대전-태평-119 안전센터
7,5.6238742186906565,둔산소방서
8,5.6244329460615,대전-갈마-119 안전센터
9,6.525261076441926,대전-궁동-119 안전센터
10,6.619051604182278,대전-월평-119 안전센터
11,6.819111673411626,대전-둔산-119 안전센터
12,6.887360709811837,대전-문화-119 안전센터
13,6.978929276723716,대전-탄방-119 안전센터
14,7.189417118931269,대전-노은-119 안전센터
15,7.3803777652129146,계룡소방서-계룡-119 안전센터
16,7.641310740409631,계룡소방서
17,8.417694785163041,대전-원동-119 안전센터
18,8.572939555161044,대전-삼성-119 안전센터
19,8.975577877205506,대전-부사-119 안전센터
20,8.981208213926616,대전-도룡-119 안전센터
21,8.989729757965259,유성소방서
22,9.528451358086922,대전-대화-119 안전센터
23,9.784691359279613,공주소방서-동학사-119 안전센터
24,9.902115955407787,동부소방서
25,10.430982727516765,대전-가양-119 안전센터
26,11.126662514312603,대전-법동-119 안전센터
27,11.130795715089969,대덕소방서
28,11.434634126649366,대전-송촌-119 안전센터
29,11.601264012279605,대전-용운-119 안전센터
