Index,init_distance,안전센터/소방서이름
0,1.877399110301605,대전-산성-119 안전센터
1,2.422901597847252,대전-복수-119 안전센터
2,2.466253338129073,서부소방서
3,3.6923427116974707,대전-문화-119 안전센터
4,3.7261087791251106,대전-태평-119 안전센터
5,3.7320937398416545,대전-가수원-119 안전센터
6,4.612790074090277,대전-원동-119 안전센터
7,5.598867325817173,대전-부사-119 안전센터
8,6.155956647947507,대전-탄방-119 안전센터
9,6.177577123598644,대전-삼성-119 안전센터
10,6.223571152301758,대전-원내-119 안전센터
11,6.431832934602048,대전-갈마-119 안전센터
12,6.432103477314198,둔산소방서
13,6.765844494866271,대전-둔산-119 안전센터
14,7.068229774941576,동부소방서
15,7.180394594023554,대전-산내-119 안전센터
16,7.76917188696311,대전-가양-119 안전센터
17,7.831144674334266,대전-월평-119 안전센터
18,7.918845981262872,대전-용운-119 안전센터
19,8.273830984778625,대전-구암-119 안전센터
20,8.60078892197935,대전-대화-119 안전센터
21,8.75148173425817,대전-궁동-119 안전센터
22,9.312414965170776,대전-송촌-119 안전센터
23,9.680635273992063,대전-법동-119 안전센터
24,9.691252791267956,대덕소방서
25,9.72837572025329,대전-도룡-119 안전센터
26,9.735047384410118,유성소방서
27,10.65615624478351,대전-노은-119 안전센터
28,10.731094535768877,계룡소방서-계룡-119 안전센터
29,11.366013360086237,계룡소방서
