Index,init_distance,안전센터/소방서이름
0,0.24464094265489816,대전-부사-119 안전센터
1,1.07800840357028,대전-원동-119 안전센터
2,1.782438814614094,동부소방서
3,2.0168977275722453,대전-삼성-119 안전센터
4,2.2267671667290254,대전-문화-119 안전센터
5,2.495066404054247,대전-용운-119 안전센터
6,2.4983964107124947,대전-가양-119 안전센터
7,3.6472346661843402,대전-태평-119 안전센터
8,4.085033648200216,대전-산성-119 안전센터
9,4.26955387622408,대전-송촌-119 안전센터
10,4.271102153726928,대전-탄방-119 안전센터
11,5.086461844341797,대전-대화-119 안전센터
12,5.241110189022356,대전-법동-119 안전센터
13,5.256211568608285,대덕소방서
14,5.345706594351888,대전-둔산-119 안전센터
15,5.65768022218067,대전-산내-119 안전센터
16,5.873576006990408,서부소방서
17,5.887692866700248,대전-복수-119 안전센터
18,6.233356001418688,대전-갈마-119 안전센터
19,6.234317354478798,둔산소방서
20,7.202466433404082,대전-월평-119 안전센터
21,7.5903238772480455,대전-가수원-119 안전센터
22,7.76892264364245,대전-도룡-119 안전센터
23,7.771213619178618,유성소방서
24,8.607251212180435,대전-전민-119 안전센터
25,8.814800362190827,대전-궁동-119 안전센터
26,9.817348960025408,대전-구암-119 안전센터
27,11.048453839773916,대전-원내-119 안전센터
28,11.5674920790208,대전-노은-119 안전센터
29,12.637792386026922,옥천소방서-옥천_중앙-119 안전센터
