Index,init_distance,duration,안전센터/소방서이름
0,6.9816,16.965,대전-노은-119 안전센터
1,9.929799999999998,20.03666666666667,대전-구암-119 안전센터
2,9.9642,20.961666666666666,대전-궁동-119 안전센터
3,11.599200000000002,22.058333333333334,대전-월평-119 안전센터
4,12.615200000000002,22.154999999999998,보람119안전센터
5,11.972700000000001,22.28666666666667,유성소방서
6,11.9798,22.295,대전-도룡-119 안전센터
7,12.728299999999999,22.666666666666668,세종소방서-한솔-119 안전센터
8,13.129700000000001,23.566666666666666,둔산소방서
9,13.130700000000001,23.57,대전-갈마-119 안전센터
10,14.7121,24.015,세종소방서-어진-119 안전센터
11,14.048,24.95,공주소방서-동학사-119 안전센터
12,13.907,25.265,대전-둔산-119 안전센터
13,17.0246,25.42,아름119안전센터
14,15.1242,25.428333333333335,대전-탄방-119 안전센터
15,15.2611,25.798333333333336,대전-가수원-119 안전센터
16,15.1255,26.16166666666667,대전-전민-119 안전센터
17,16.5627,27.238333333333333,대전-태평-119 안전센터
18,17.3993,27.895,서부소방서
19,16.774,27.953333333333333,대전-원내-119 안전센터
20,16.7598,28.15,대전-대화-119 안전센터
21,17.5411,28.916666666666668,대전-삼성-119 안전센터
22,17.536,28.991666666666667,대덕소방서
23,17.5809,29.048333333333336,대전-법동-119 안전센터
24,23.8578,29.13,대전-덕암-119 안전센터
25,20.3643,29.256666666666668,대전-문평-119 안전센터
26,18.1696,29.336666666666666,대전-복수-119 안전센터
27,18.421799999999998,29.509999999999998,대전-송촌-119 안전센터
28,18.7933,29.81,대전-산성-119 안전센터
29,31.3959,41.97666666666667,공주소방서-공주_계룡-119 안전센터
