,0,1,2,3,4,5,6,7,8
0,0.0,2.61,4.8,16.82,2.29,3.78,3.74,15.3,40.24
1,2.61,0.0,2.87,17.59,4.13,5.54,3.85,13.37,37.8
2,4.8,3.0,0.0,17.27,6.32,7.74,5.41,10.67,34.34
3,16.81,18.24,19.04,0.0,18.56,18.81,19.97,28.17,50.77
4,2.3,4.13,6.32,18.61,0.0,1.83,2.08,16.82,41.85
5,3.79,5.5,7.69,18.84,1.79,0.0,3.22,18.19,43.63
6,3.54,3.11,5.0,20.01,2.08,3.26,0.0,15.5,40.61
7,15.29,13.49,10.66,28.64,16.81,18.23,15.2,0.0,24.64
8,39.25,36.82,33.71,49.96,40.84,42.63,40.56,25.0,0.0
