Index,수술실수,병상수,종별코드,요양기관명,헬기장 여부
0,1,5,21,국군대전병원,0
1,2,2,11,근로복지공단 대전병원,0
2,2,4,11,대전보훈병원,0
3,2,17,11,학교법인 을지학원 대전을지대학교병원,1
4,2,5,11,대전한국병원,0
5,2,10,11,의료법인영훈의료재단 유성선병원,0
6,3,13,1,충남대학교병원,0
7,3,16,1,충북대학교병원,1
