index,random_latitude,random_longitude,snapped_latitude,snapped_longitude,snap_distance_m,experiment_id,incident_size,amb_velocity,uav_velocity,total_samples,random_seed,is_use_time,uav_size,scenario_gen_time_sec,simulation_time_sec,api_call_count,status,failure_reason,평균 시나리오 생성 시간(초),평균 시뮬레이션 실행 시간(초),평균 API 호출 수,전체 좌표 수,실험 성공 수,성공률(%)
638,36.36453779,127.3804271,36.364708,127.380428,18.9262053,daejeon_exp_20260129_205304,30,40,80,30,0,TRUE,0,39.2,0.72,38,success,,,,,,,
639,36.36088326,127.4330307,36.36082,127.432872,15.85293273,daejeon_exp_20260129_205304,30,40,80,30,0,TRUE,0,40.15,0.7,39,success,,,,,,,
640,36.34587943,127.3331427,36.345197,127.33348,81.67543434,daejeon_exp_20260129_205304,30,40,80,30,0,TRUE,0,37.98,0.67,36,success,,,,,,,
641,36.24522003,127.317366,36.245559,127.31828,90.21636061,daejeon_exp_20260129_205304,30,40,80,30,0,TRUE,0,36.24,0.69,35,success,,,,,,,
642,36.31076266,127.3661963,36.310753,127.366653,40.93522996,daejeon_exp_20260129_205304,30,40,80,30,0,TRUE,0,36.1,0.7,35,success,,,,,,,
643,36.31912601,127.2933653,36.319902,127.295124,179.6479946,daejeon_exp_20260129_205304,30,40,80,30,0,TRUE,0,48.58,0.7,36,success,,,,,,,
644,36.40298488,127.4042845,36.403,127.404445,14.46477877,daejeon_exp_20260129_205304,30,40,80,30,0,TRUE,0,40.17,0.68,39,success,,,,,,,
645,36.46215808,127.4716713,36.462773,127.471962,73.14983768,daejeon_exp_20260129_205304,30,40,80,30,0,TRUE,0,40.23,0.7,39,success,,,,,,,
646,36.27230714,127.2756129,36.272637,127.275701,37.51865326,daejeon_exp_20260129_205304,30,40,80,30,0,TRUE,0,37.16,0.68,36,success,,,,,,,
647,36.43030395,127.3862265,36.430514,127.386269,23.66388447,daejeon_exp_20260129_205304,30,40,80,30,0,TRUE,0,38.17,0.7,37,success,,,,,,,
648,36.41144548,127.3167855,36.413579,127.316216,242.6490798,daejeon_exp_20260129_205304,30,40,80,30,0,TRUE,0,38.14,0.7,37,success,,,,,,,
649,36.37393246,127.5106424,36.37399,127.510369,25.30183134,daejeon_exp_20260129_205304,30,40,80,30,0,TRUE,0,39.18,0.69,38,success,,,,,,,
650,36.31998378,127.3626124,36.320365,127.364435,168.7062068,daejeon_exp_20260129_205304,30,40,80,30,0,TRUE,0,37.17,0.71,36,success,,,,,,,
651,36.46582096,127.3966562,36.46589,127.396526,13.94293575,daejeon_exp_20260129_205304,30,40,80,30,0,TRUE,0,39.55,0.7,38,success,,,,,,,
652,36.28235072,127.4206495,36.282737,127.421586,94.29227415,daejeon_exp_20260129_205304,30,40,80,30,0,TRUE,0,37.12,0.68,36,success,,,,,,,
653,36.38174422,127.3999465,36.381035,127.399953,78.86441374,daejeon_exp_20260129_205304,30,40,80,30,0,TRUE,0,39.18,0.7,38,success,,,,,,,
