Index,init_distance,안전센터/소방서이름
0,1.0765445047752038,대전-노은-119 안전센터
1,2.0511990929218284,대전-궁동-119 안전센터
2,2.6144382524265497,대전-구암-119 안전센터
3,3.7026762691400767,대전-월평-119 안전센터
4,4.576503483143672,대전-도룡-119 안전센터
5,4.582451336533879,유성소방서
6,4.690808211623706,둔산소방서
7,4.691666068927919,대전-갈마-119 안전센터
8,5.5687087721800355,대전-둔산-119 안전센터
9,6.621460010582429,대전-탄방-119 안전센터
10,6.740568243332496,공주소방서-동학사-119 안전센터
11,7.368045647876862,대전-가수원-119 안전센터
12,7.397920277008035,대전-대화-119 안전센터
13,7.549258576383494,대전-전민-119 안전센터
14,7.909398144555768,대전-태평-119 안전센터
15,7.995941500233263,서부소방서
16,8.04235542974099,대전-복수-119 안전센터
17,8.991516016966354,대덕소방서
18,8.99724921478705,대전-원내-119 안전센터
19,8.99884471674206,대전-법동-119 안전센터
20,9.093230951095316,대전-삼성-119 안전센터
21,9.339638553488076,대전-산성-119 안전센터
22,9.47888270149562,대전-문화-119 안전센터
23,10.208365060646289,대전-송촌-119 안전센터
24,10.361401286889322,동부소방서
25,10.41165119664445,대전-가양-119 안전센터
26,10.629169384724225,대전-부사-119 안전센터
27,10.732510409107473,대전-문평-119 안전센터
28,10.9234843466524,대전-원동-119 안전센터
29,11.456638294376347,대전-덕암-119 안전센터
