Index,init_distance,안전센터/소방서이름
0,0.8099360558274578,대전-산성-119 안전센터
1,1.2283650999329172,대전-복수-119 안전센터
2,1.2366575915050477,서부소방서
3,2.0035683132006246,대전-태평-119 안전센터
4,2.583948037531379,대전-문화-119 안전센터
5,2.9855992883417186,대전-가수원-119 안전센터
6,3.9926054716498887,대전-원동-119 안전센터
7,4.378413747107183,대전-탄방-119 안전센터
8,4.6148903111005275,대전-갈마-119 안전센터
9,4.615211273258911,둔산소방서
10,4.699079099030048,대전-부사-119 안전센터
11,4.805375851766258,대전-삼성-119 안전센터
12,4.935811188367216,대전-둔산-119 안전센터
13,5.918597331864515,동부소방서
14,6.014700541345417,대전-월평-119 안전센터
15,6.279022990308376,대전-원내-119 안전센터
16,6.561829931340755,대전-가양-119 안전센터
17,6.810671060821227,대전-구암-119 안전센터
18,6.904210128505854,대전-대화-119 안전센터
19,7.019228205743813,대전-궁동-119 안전센터
20,7.265618549007169,대전-용운-119 안전센터
21,7.8671695796676895,대전-산내-119 안전센터
22,7.8915669195276275,대전-도룡-119 안전센터
23,7.898275079561799,유성소방서
24,7.936324587299372,대전-송촌-119 안전센터
25,8.116168156141743,대전-법동-119 안전센터
26,8.125398545150423,대덕소방서
27,9.11124606053032,대전-노은-119 안전센터
28,10.291853234514926,대전-전민-119 안전센터
29,11.238596572611922,계룡소방서-계룡-119 안전센터
