Index,init_distance,안전센터/소방서이름
0,1.126440609546996,대전-산성-119 안전센터
1,1.1971257871687204,대전-태평-119 안전센터
2,1.491339001112997,서부소방서
3,1.51364335003638,대전-복수-119 안전센터
4,2.189010746265797,대전-문화-119 안전센터
5,3.184183253041473,대전-가수원-119 안전센터
6,3.5315497736510877,대전-탄방-119 안전센터
7,3.758316809403238,대전-원동-119 안전센터
8,3.8588657704654383,대전-갈마-119 안전센터
9,3.8592755299915686,둔산소방서
10,4.097682935491689,대전-둔산-119 안전센터
11,4.131571428644055,대전-삼성-119 안전센터
12,4.279533253159824,대전-부사-119 안전센터
13,5.252816422778844,대전-월평-119 안전센터
14,5.336501896502303,동부소방서
15,5.9414684144356,대전-가양-119 안전센터
16,6.073679694896929,대전-대화-119 안전센터
17,6.354107225682828,대전-궁동-119 안전센터
18,6.375027216712194,대전-구암-119 안전센터
19,6.675236391604906,대전-원내-119 안전센터
20,6.901357456625519,대전-용운-119 안전센터
21,7.064844529460938,대전-도룡-119 안전센터
22,7.07141178458493,유성소방서
23,7.225903460537326,대전-송촌-119 안전센터
24,7.327984031938864,대전-법동-119 안전센터
25,7.336666790276195,대덕소방서
26,8.114335363375574,대전-산내-119 안전센터
27,8.591710252682963,대전-노은-119 안전센터
28,9.444073913772609,대전-전민-119 안전센터
29,11.744643748187514,계룡소방서-계룡-119 안전센터
