Index,init_distance,안전센터/소방서이름
0,3.9642425754216344,대전-가수원-119 안전센터
1,3.9794818892389094,대전-복수-119 안전센터
2,4.030135181208281,서부소방서
3,4.385824487417422,대전-원내-119 안전센터
4,4.70433141397092,대전-산성-119 안전센터
5,6.2875343870859055,대전-태평-119 안전센터
6,6.625614420008681,대전-문화-119 안전센터
7,7.609348136333892,대전-원동-119 안전센터
8,8.03365185093342,계룡소방서-계룡-119 안전센터
9,8.20928029460041,둔산소방서
10,8.209353476153627,대전-갈마-119 안전센터
11,8.565939360858108,대전-탄방-119 안전센터
12,8.591496755981959,대전-부사-119 안전센터
13,8.79346517160253,계룡소방서
14,8.815748192028467,대전-구암-119 안전센터
15,8.929526961302507,대전-둔산-119 안전센터
16,9.042999768870846,대전-삼성-119 안전센터
17,9.429581932379985,대전-산내-119 안전센터
18,9.529107182068534,대전-월평-119 안전센터
19,10.007458911930728,대전-궁동-119 안전센터
20,10.0257273660761,동부소방서
21,10.712847416578676,대전-가양-119 안전센터
22,10.904003760667923,대전-용운-119 안전센터
23,11.157566715103643,대전-대화-119 안전센터
24,11.244627631731941,대전-노은-119 안전센터
25,11.713506927901882,대전-도룡-119 안전센터
26,11.7211774135789,유성소방서
27,12.188150191337147,대전-송촌-119 안전센터
28,12.411425676207157,대전-법동-119 안전센터
29,12.420596520892316,대덕소방서
