Index,init_distance,안전센터/소방서이름
0,0.5165908428089515,대전-전민-119 안전센터
1,3.4889876835629026,유성소방서
2,3.4975983465770657,대전-도룡-119 안전센터
3,4.117605332950491,대전-대화-119 안전센터
4,4.131546940522282,대덕소방서
5,4.147622346220521,대전-법동-119 안전센터
6,4.455148893744691,대전-덕암-119 안전센터
7,4.8372453451923425,대전-문평-119 안전센터
8,5.631067338303761,대전-송촌-119 안전센터
9,5.834328500554794,대전-월평-119 안전센터
10,5.882817679684253,대전-둔산-119 안전센터
11,6.3413579467928525,대전-탄방-119 안전센터
12,6.603100620321852,대전-궁동-119 안전센터
13,6.821191181042462,대전-갈마-119 안전센터
14,6.821610967628761,둔산소방서
15,7.058092109995795,대전-가양-119 안전센터
16,7.218757027746677,대전-삼성-119 안전센터
17,7.552571748274753,동부소방서
18,8.613166964999342,대전-노은-119 안전센터
19,8.773965206650258,대전-태평-119 안전센터
20,8.904629292067057,대전-부사-119 안전센터
21,8.991024457538986,대전-구암-119 안전센터
22,9.384221873511152,대전-문화-119 안전센터
23,9.58275338227669,대전-용운-119 안전센터
24,9.890601564176432,대전-원동-119 안전센터
25,10.671037138871917,대전-산성-119 안전센터
26,10.781980512098372,서부소방서
27,10.832027887789168,대전-복수-119 안전센터
28,11.433866221979192,대전-가수원-119 안전센터
29,13.01074148433431,보람119안전센터
